Timestamp,Siddhi,Avg_Throughput,,,
1599420189000,NO2_Avg(output),6129838,,,
1599420188000,NO2_Avg(output),6192388,,,
1599420187000,NO2_Avg(output),6256227,,,
1599420186000,NO2_Avg(output),6321396,,,
1599420185000,NO2_Avg(output),6387937,,,
1599420184000,NO2_Avg(output),6455894,,,
1599420183000,NO2_Avg(output),6525312,,,
1599420182000,NO2_Avg(output),6596239,,,
1599420181000,NO2_Avg(output),6668725,,,
1599420180000,NO2_Avg(output),6742822,,,
1599420179000,NO2_Avg(output),6818584,,,
1599420178000,NO2_Avg(output),6896068,,,
1599420177000,NO2_Avg(output),6975333,,,
1599420176000,NO2_Avg(output),7056442,,,
1599420175000,NO2_Avg(output),7139459,,,
1599420174000,NO2_Avg(output),7224452,,,
1599420173000,NO2_Avg(output),7311494,,,
1599420172000,NO2_Avg(output),7400659,,,
1599420171000,NO2_Avg(output),7492025,,,
1599420170000,NO2_Avg(output),7584300,,,
1599420169000,NO2_Avg(output),7680304,,,
1599420168000,NO2_Avg(output),7778769,,,
1599420167000,NO2_Avg(output),7879792,,,
1599420166000,NO2_Avg(output),7983474,,,
1599420165000,NO2_Avg(output),8089920,,,
1599420164000,NO2_Avg(output),8199243,,,
1599420163000,NO2_Avg(output),8311562,,,
1599420162000,NO2_Avg(output),8427000,,,
1599420161000,NO2_Avg(output),8545690,,,
1599420160000,NO2_Avg(output),8667771,,,
1599420159000,NO2_Avg(output),8793391,,,
1599420158000,NO2_Avg(output),8922706,,,
1599420157000,NO2_Avg(output),9055881,,,
1599420156000,NO2_Avg(output),9193091,,,
1599420155000,NO2_Avg(output),9334523,,,
1599420154000,NO2_Avg(output),9480375,,,
1599420153000,NO2_Avg(output),9630857,,,
1599420152000,NO2_Avg(output),4839806,,,
1599420631000,NO2_Good(output),96,,,
1599420630000,NO2_Good(output),96,,,
1599420629000,NO2_Good(output),96,,,
1599420628000,NO2_Good(output),97,,,
1599420627000,NO2_Good(output),97,,,
1599420626000,NO2_Good(output),97,,,
1599420625000,NO2_Good(output),97,,,
1599420624000,NO2_Good(output),97,,,
1599420623000,NO2_Good(output),98,,,
1599420622000,NO2_Good(output),98,,,
1599420621000,NO2_Good(output),98,,,
1599420620000,NO2_Good(output),98,,,
1599420619000,NO2_Good(output),98,,,
1599420618000,NO2_Good(output),98,,,
1599420617000,NO2_Good(output),99,,,
1599420616000,NO2_Good(output),99,,,
1599420615000,NO2_Good(output),99,,,
1599420614000,NO2_Good(output),99,,,
1599420613000,NO2_Good(output),99,,,
1599420612000,NO2_Good(output),100,,,
1599420611000,NO2_Good(output),100,,,
1599420610000,NO2_Good(output),100,,,
1599420609000,NO2_Good(output),100,,,
1599420608000,NO2_Good(output),100,,,
1599420607000,NO2_Good(output),101,,,
1599420606000,NO2_Good(output),101,,,
1599420605000,NO2_Good(output),101,,,
1599420604000,NO2_Good(output),101,,,
1599420603000,NO2_Good(output),101,,,
1599420602000,NO2_Good(output),102,,,
1599420601000,NO2_Good(output),102,,,
1599420600000,NO2_Good(output),102,,,
1599420599000,NO2_Good(output),102,,,
1599420598000,NO2_Good(output),102,,,
1599420597000,NO2_Good(output),103,,,
1599420596000,NO2_Good(output),103,,,
1599420595000,NO2_Good(output),103,,,
1599420594000,NO2_Good(output),103,,,
1599420593000,NO2_Good(output),103,,,
1599420592000,NO2_Good(output),104,,,
1599420591000,NO2_Good(output),104,,,
1599420590000,NO2_Good(output),104,,,
1599420589000,NO2_Good(output),104,,,
1599420588000,NO2_Good(output),104,,,
1599420587000,NO2_Good(output),105,,,
1599420586000,NO2_Good(output),105,,,
1599420585000,NO2_Good(output),105,,,
1599420584000,NO2_Good(output),105,,,
1599420583000,NO2_Good(output),105,,,
1599420582000,NO2_Good(output),106,,,
1599420581000,NO2_Good(output),106,,,
1599420580000,NO2_Good(output),106,,,
1599420579000,NO2_Good(output),106,,,
1599420578000,NO2_Good(output),107,,,
1599420577000,NO2_Good(output),107,,,
1599420576000,NO2_Good(output),107,,,
1599420575000,NO2_Good(output),107,,,
1599420574000,NO2_Good(output),107,,,
1599420573000,NO2_Good(output),108,,,
1599420572000,NO2_Good(output),108,,,
1599420571000,NO2_Good(output),108,,,
1599420570000,NO2_Good(output),108,,,
1599420569000,NO2_Good(output),109,,,
1599420568000,NO2_Good(output),109,,,
1599420567000,NO2_Good(output),109,,,
1599420566000,NO2_Good(output),109,,,
1599420565000,NO2_Good(output),109,,,
1599420564000,NO2_Good(output),110,,,
1599420563000,NO2_Good(output),110,,,
1599420562000,NO2_Good(output),110,,,
1599420561000,NO2_Good(output),110,,,
1599420560000,NO2_Good(output),111,,,
1599420559000,NO2_Good(output),111,,,
1599420558000,NO2_Good(output),111,,,
1599420557000,NO2_Good(output),111,,,
1599420556000,NO2_Good(output),112,,,
1599420555000,NO2_Good(output),112,,,
1599420554000,NO2_Good(output),112,,,
1599420553000,NO2_Good(output),112,,,
1599420552000,NO2_Good(output),113,,,
1599420551000,NO2_Good(output),113,,,
1599420550000,NO2_Good(output),113,,,
1599420549000,NO2_Good(output),113,,,
1599420548000,NO2_Good(output),114,,,
1599420547000,NO2_Good(output),114,,,
1599420546000,NO2_Good(output),114,,,
1599420545000,NO2_Good(output),114,,,
1599420544000,NO2_Good(output),115,,,
1599420543000,NO2_Good(output),115,,,
1599420542000,NO2_Good(output),115,,,
1599420541000,NO2_Good(output),115,,,
1599420540000,NO2_Good(output),116,,,
1599420539000,NO2_Good(output),116,,,
1599420538000,NO2_Good(output),116,,,
1599420537000,NO2_Good(output),116,,,
1599420536000,NO2_Good(output),117,,,
1599420535000,NO2_Good(output),117,,,
1599420534000,NO2_Good(output),117,,,
1599420533000,NO2_Good(output),117,,,
1599420532000,NO2_Good(output),118,,,
1599420531000,NO2_Good(output),118,,,
1599420530000,NO2_Good(output),118,,,
1599420529000,NO2_Good(output),118,,,
1599420528000,NO2_Good(output),119,,,
1599420527000,NO2_Good(output),119,,,
1599420526000,NO2_Good(output),119,,,
1599420525000,NO2_Good(output),120,,,
1599420524000,NO2_Good(output),120,,,
1599420523000,NO2_Good(output),120,,,
1599420522000,NO2_Good(output),120,,,
1599420521000,NO2_Good(output),121,,,
1599420520000,NO2_Good(output),121,,,
1599420519000,NO2_Good(output),121,,,
1599420518000,NO2_Good(output),121,,,
1599420517000,NO2_Good(output),122,,,
1599420516000,NO2_Good(output),122,,,
1599420515000,NO2_Good(output),122,,,
1599420514000,NO2_Good(output),123,,,
1599420513000,NO2_Good(output),123,,,
1599420512000,NO2_Good(output),123,,,
1599420511000,NO2_Good(output),124,,,
1599420510000,NO2_Good(output),124,,,
1599420509000,NO2_Good(output),124,,,
1599420508000,NO2_Good(output),124,,,
